Platform,Tier,Task ID,Task Name,Category,Description,Premium Task
"Amazon AWS","Pro","aws-configure-route53-healthcheck","Create Route53 Health Check","DNS & Route53","Configure Route53 health check to monitor endpoint availability","Yes"
"Google Cloud","Pro","gcp-bulk-vm-control","Bulk VM Start/Stop/Delete","Bulk Operations","Control multiple GCE instances","Yes"
"Google Cloud","Pro","gcp-create-vm","Create GCE Instance","Compute Management","Create a new Google Compute Engine instance","Yes"
"Google Cloud","Pro","gcp-manage-storage-bucket","Manage Cloud Storage Bucket","Storage Management","Create or configure GCS bucket","Yes"
"Google Cloud","Pro","gcp-modify-vm-instance","Modify VM Instances","Common Admin Tasks","Modify existing GCE instance configurations","Yes"
"Google Cloud","Pro","gcp-manage-persistent-disks","Create and Manage Persistent Disks","Common Admin Tasks","Create, attach, and manage persistent disks","Yes"
"Google Cloud","Pro","gcp-configure-network-settings","Configure Network Settings","Common Admin Tasks","Configure VPC networks and subnets","Yes"
"Google Cloud","Pro","gcp-manage-bucket-permissions","Manage Storage Buckets and Permissions","Common Admin Tasks","Configure bucket access control and IAM policies","Yes"
"Google Cloud","Pro","gcp-monitor-performance-metrics","Monitor Performance Metrics","Common Admin Tasks","Retrieve and monitor GCP resource metrics","Yes"
"Google Cloud","Pro","gcp-export-billing-reports","Export Billing Reports","Common Admin Tasks","Export GCP billing data and cost reports","Yes"
"Google Cloud","Pro","gcp-automate-backup-actions","Automate Backup Actions","Common Admin Tasks","Create automated backups for disks and snapshots","Yes"
"Google Cloud","Pro","gcp-automate-restore-actions","Automate Restore Actions","Common Admin Tasks","Restore from disk snapshots and backups","Yes"
"Google Cloud","Pro","gcp-configure-firewall-rules","Configure Firewall Rules","Common Admin Tasks","Create and manage VPC firewall rules","Yes"
"Google Cloud","Pro","gcp-manage-iam-roles","Manage IAM Roles and Assignments","Common Admin Tasks","Configure IAM roles and member assignments","Yes"
"Google Cloud","Pro","gcp-manage-gke-clusters","Manage Google Kubernetes Engine (GKE) Clusters","Common Admin Tasks","Create and manage GKE clusters and node pools","Yes"
"Google Cloud","Pro","gcp-configure-cloud-functions","Configure Cloud Functions","Common Admin Tasks","Deploy serverless functions and manage triggers","Yes"
"Google Cloud","Pro","gcp-manage-cloud-sql","Manage Cloud SQL Instances","Common Admin Tasks","Create Cloud SQL databases, configure replicas, and manage backups","Yes"
"Google Cloud","Pro","gcp-configure-logging-monitoring","Configure Cloud Logging and Monitoring","Common Admin Tasks","Set up log sinks, metrics, and uptime checks","Yes"
"Google Cloud","Pro","gcp-manage-load-balancing","Manage Cloud Load Balancing","Common Admin Tasks","Create load balancers and configure backend services","Yes"
"Google Cloud","Pro","gcp-configure-cloud-sql-backup","Configure Cloud SQL Automated Backups","Database Management","Configure automated backup settings for Cloud SQL instances","Yes"
"Google Cloud","Pro","gcp-manage-iam-service-account","Create and Configure IAM Service Account","Security & IAM","Create service account and assign IAM roles for automation","Yes"
"Google Cloud","Pro","gcp-configure-vpc-peering","Create VPC Network Peering Connection","Networking","Establish VPC peering between two networks for private communication","Yes"
"Google Cloud","Pro","gcp-manage-bigquery-dataset","Create and Configure BigQuery Dataset","Big Data & Analytics","Create BigQuery dataset with access controls and expiration settings","Yes"
"Google Cloud","Pro","gcp-configure-cloud-cdn","Enable and Configure Cloud CDN","Content Delivery","Enable Cloud CDN for backend service to cache content globally","Yes"
"CrowdStrike Falcon","Pro","cs-bulk-isolate-hosts","Bulk Isolate/Contain Hosts","Bulk Operations","Isolate or un-isolate multiple hosts from network","Yes"
"CrowdStrike Falcon","Pro","cs-query-detections","Query Security Detections","Threat Management","Retrieve and filter security detections","Yes"
"CrowdStrike Falcon","Pro","cs-get-host-details","Get Host Details","Host Management","Retrieve detailed information about hosts","Yes"
"CrowdStrike Falcon","Pro","cs-retrieve-incidents","Retrieve Security Incidents","Common Admin Tasks","Retrieve and filter security incidents and alerts","Yes"
"CrowdStrike Falcon","Pro","cs-assign-incident","Assign and Update Incidents","Common Admin Tasks","Assign incidents to users and update incident status","Yes"
"CrowdStrike Falcon","Pro","cs-download-forensics","Download Forensic Data","Common Admin Tasks","Download forensic data and quarantined files from hosts","Yes"
"CrowdStrike Falcon","Pro","cs-manage-prevention-policy","Manage Prevention Policies","Common Admin Tasks","Configure and apply prevention policies to host groups","Yes"
"CrowdStrike Falcon","Pro","cs-compliance-report","Generate Security Compliance Report","Common Admin Tasks","Generate comprehensive security compliance reports","Yes"
"CrowdStrike Falcon","Pro","cs-search-iocs","Search for IOCs Across Hosts","Common Admin Tasks","Search for indicators of compromise across all managed hosts","Yes"
"CrowdStrike Falcon","Pro","cs-host-inventory","Retrieve Host Inventory","Common Admin Tasks","Retrieve complete host inventory with detailed information","Yes"
"CrowdStrike Falcon","Pro","cs-configure-rtr-policies","Configure Real-Time Response Policies","Common Admin Tasks","Enable/disable RTR capabilities and configure session timeouts for response operations","Yes"
"CrowdStrike Falcon","Pro","cs-manage-exclusions","Manage Detection Exclusions","Common Admin Tasks","Add or remove hash, path, and behavior-based detection exclusions","Yes"
"CrowdStrike Falcon","Pro","cs-execute-rtr-commands","Execute Real-Time Response Commands","Common Admin Tasks","Run investigative commands on remote endpoints (ps, netstat, ls, reg query)","Yes"
"CrowdStrike Falcon","Pro","cs-threat-intel-reports","Generate Threat Intelligence Reports","Common Admin Tasks","Export comprehensive threat intelligence reports including IOCs and threat actor data","Yes"
"CrowdStrike Falcon","Pro","cs-custom-ioc-lists","Manage Custom IOC Lists","Common Admin Tasks","Create and update custom IOC lists for automated blocking and detection","Yes"
"CrowdStrike Falcon","Pro","cs-sensor-update-policies","Configure Sensor Update Policies","Common Admin Tasks","Manage sensor versions, update schedules, and maintenance windows","Yes"
"Sophos Central","Pro","sophos-bulk-isolate-endpoints","Bulk Isolate Endpoints","Bulk Operations","Isolate multiple endpoints from network","Yes"
"Sophos Central","Pro","sophos-get-alerts","Retrieve Security Alerts","Alert Management","Get and filter security alerts","Yes"
"Sophos Central","Pro","sophos-manage-policy","Manage Endpoint Policy","Policy Management","Configure endpoint protection policy","Yes"
"Sophos Central","Pro","sophos-threat-reports","Generate Threat Intelligence Reports","Common Admin Tasks","Generate detailed threat intelligence and analysis reports","Yes"
"Sophos Central","Pro","sophos-web-control","Configure Web Control Policies","Common Admin Tasks","Configure web filtering and control policies","Yes"
"Sophos Central","Pro","sophos-manage-roles","Manage Role Assignments","Common Admin Tasks","Assign and manage administrative roles for users","Yes"
"Sophos Central","Pro","sophos-endpoint-status","Monitor Endpoint Status and Coverage","Common Admin Tasks","Monitor endpoint protection status and coverage metrics","Yes"
"Sophos Central","Pro","sophos-manage-exclusions","Manage Exclusions and Scanning Rules","Common Admin Tasks","Configure scan exclusions and custom scanning rules","Yes"
"Okta","Pro","okta-bulk-create-users","Bulk Create Users","Bulk Operations","Create multiple users in Okta","Yes"
"Okta","Pro","okta-bulk-assign-app","Bulk Assign Application","Bulk Operations","Assign application to multiple users","Yes"
"Okta","Pro","okta-export-users","Export User Report","Reporting","Export all users to CSV","Yes"
"Okta","Pro","okta-update-user","Update User Profile","Common Admin Tasks","Update user profile information in Okta","Yes"
"Okta","Pro","okta-deactivate-user","Deactivate User Account","Common Admin Tasks","Deactivate user accounts in Okta","Yes"
"Okta","Pro","okta-manage-groups","Manage Groups and Memberships","Common Admin Tasks","Create groups and manage user memberships","Yes"
"Okta","Pro","okta-password-policy","Configure Password Policies","Common Admin Tasks","Configure password complexity and expiration policies","Yes"
"Okta","Pro","okta-automate-onboarding","Automate User Onboarding","Common Admin Tasks","Automated user onboarding with group assignments and app provisioning","Yes"
"Okta","Pro","okta-automate-offboarding","Automate User Offboarding","Common Admin Tasks","Automated user offboarding with app removal and account deactivation","Yes"
"Okta","Pro","okta-audit-report","Generate Audit Reports","Common Admin Tasks","Generate comprehensive audit and compliance reports","Yes"
"Okta","Pro","okta-integrate-apps","Integrate Okta Apps via API","Common Admin Tasks","Configure and integrate applications with Okta using API","Yes"
"Okta","Pro","okta-session-policy","Configure Session Policies","Common Admin Tasks","Configure session timeout and security policies","Yes"
"Duo Security","Pro","duo-bulk-enroll-users","Bulk Enroll Users","Bulk Operations","Enroll multiple users for MFA","Yes"
"Duo Security","Pro","duo-export-auth-logs","Export Authentication Logs","Reporting","Export Duo authentication logs","Yes"
"Duo Security","Pro","duo-manage-users","Manage User Accounts","Common Admin Tasks","Create, update, and manage Duo user accounts","Yes"
"Duo Security","Pro","duo-manage-devices","Manage Devices and Enrollments","Common Admin Tasks","Manage user devices and MFA enrollments","Yes"
"Duo Security","Pro","duo-retrieve-auth-logs","Retrieve Authentication Logs","Common Admin Tasks","Retrieve and analyze Duo authentication logs","Yes"
"Duo Security","Pro","duo-enforce-mfa","Enforce MFA on Specific Systems","Common Admin Tasks","Configure MFA enforcement for specific systems and applications","Yes"
"Duo Security","Pro","duo-compliance-report","Generate Compliance Reports","Common Admin Tasks","Generate compliance and security audit reports","Yes"
"Duo Security","Pro","duo-usage-report","Generate Usage Reports","Common Admin Tasks","Generate detailed usage and activity reports","Yes"
"Duo Security","Pro","duo-configure-mfa-policy","Configure MFA Policies","Common Admin Tasks","Configure global MFA policies and requirements","Yes"
"Fortinet FortiGate","Pro","fortigate-bulk-create-addresses","Bulk Create Address Objects","Bulk Operations","Create multiple firewall address objects","Yes"
"Fortinet FortiGate","Pro","fortigate-create-firewall-policy","Create Firewall Policy","Policy Management","Create a new firewall policy rule","Yes"
"Fortinet FortiGate","Pro","fortigate-backup-config","Backup Configuration","Configuration Management","Export FortiGate configuration backup","Yes"
"Fortinet FortiGate","Pro","fortigate-edit-firewall-policy","Edit Firewall Policy","Common Admin Tasks","Modify an existing firewall policy rule","Yes"
"Fortinet FortiGate","Pro","fortigate-create-nat-rule","Create NAT Rule","Common Admin Tasks","Create a new NAT (Network Address Translation) rule","Yes"
"Fortinet FortiGate","Pro","fortigate-delete-nat-rule","Delete NAT Rule","Common Admin Tasks","Remove an existing NAT rule","Yes"
"Fortinet FortiGate","Pro","fortigate-create-address-group","Create Address Group","Common Admin Tasks","Create firewall address group from multiple address objects","Yes"
"Fortinet FortiGate","Pro","fortigate-get-session-stats","Retrieve Session Statistics","Common Admin Tasks","Get current firewall session statistics","Yes"
"Fortinet FortiGate","Pro","fortigate-get-bandwidth-stats","Retrieve Bandwidth Statistics","Common Admin Tasks","Get interface bandwidth utilization statistics","Yes"
"Fortinet FortiGate","Pro","fortigate-configure-logging","Configure Logging Settings","Common Admin Tasks","Configure syslog and logging settings","Yes"
"Fortinet FortiGate","Pro","fortigate-schedule-backup","Schedule Configuration Backup","Common Admin Tasks","Create scheduled task for automatic configuration backups","Yes"
"Fortinet FortiGate","Pro","fortigate-sync-config","Sync Configuration to Devices","Common Admin Tasks","Synchronize configuration across HA cluster members","Yes"
"Fortinet FortiGate","Pro","fortigate-manage-vpn-tunnel","Manage VPN Tunnels","Common Admin Tasks","Enable or disable VPN tunnels","Yes"
"Fortinet FortiGate","Pro","fortigate-manage-sslvpn-users","Manage SSL VPN Users and Groups","Common Admin Tasks","Create VPN users, configure groups, and set quotas for SSL VPN access","Yes"
"Fortinet FortiGate","Pro","fortigate-configure-sdwan","Configure SD-WAN Rules and SLAs","Common Admin Tasks","Create SD-WAN rules, SLA targets, and link health checks for intelligent traffic routing","Yes"
"Fortinet FortiGate","Pro","fortigate-manage-security-profiles","Manage Security Profiles (AV, IPS, Web Filter)","Common Admin Tasks","Configure antivirus, intrusion prevention, and web filtering security policies","Yes"
"Fortinet FortiGate","Pro","fortigate-configure-ha","Configure High Availability (HA)","Common Admin Tasks","Set up HA cluster, synchronize configuration, and monitor cluster status","Yes"
"Fortinet FortiGate","Pro","fortigate-manage-fortiguard-updates","Manage FortiGuard Updates","Common Admin Tasks","Check and update FortiGuard threat database, web filter, and antivirus signatures","Yes"
"Fortinet FortiGate","Pro","fortigate-generate-security-reports","Generate Security Reports","Common Admin Tasks","Export comprehensive security reports including threat logs, bandwidth usage, and top applications","Yes"
"Cisco Meraki","Pro","meraki-bulk-create-ssids","Meraki: Bulk Create SSIDs","Bulk Operations","Create multiple wireless SSIDs","Yes"
"Cisco Meraki","Pro","meraki-export-client-list","Meraki: Export Client List","Reporting","Export connected clients inventory","Yes"
"Cisco Meraki","Pro","cisco-ios-backup-config","Cisco IOS: Backup Configuration","Configuration Management","Backup Cisco switch/router configuration","Yes"
"Cisco Meraki","Pro","cisco-ios-manage-router","Cisco IOS: Manage Router","Common Admin Tasks","Configure router interface settings","Yes"
"Cisco Meraki","Pro","cisco-ios-manage-switch","Cisco IOS: Manage Switch","Common Admin Tasks","Configure switch port settings","Yes"
"Cisco Meraki","Pro","meraki-manage-access-point","Meraki: Manage Wireless Access Point","Common Admin Tasks","Configure wireless access point settings","Yes"
"Cisco Meraki","Pro","meraki-export-network-inventory","Meraki: Export Network Inventory","Common Admin Tasks","Export complete network device inventory","Yes"
"Cisco Meraki","Pro","cisco-ios-update-config","Cisco IOS: Update Network Configuration","Common Admin Tasks","Push configuration changes to network device","Yes"
"Cisco Meraki","Pro","meraki-monitor-performance","Meraki: Monitor Network Performance","Common Admin Tasks","Retrieve network performance metrics","Yes"
"Cisco Meraki","Pro","cisco-ios-automate-backup","Cisco IOS: Automate Configuration Backup","Common Admin Tasks","Schedule automated configuration backups","Yes"
"Cisco Meraki","Pro","cisco-ios-configure-vlan","Cisco IOS: Configure VLAN","Common Admin Tasks","Create and configure VLANs on switch","Yes"
"Cisco Meraki","Pro","meraki-configure-ssid","Meraki: Configure SSID Settings","Common Admin Tasks","Configure individual SSID settings and security","Yes"
"Cisco Meraki","Pro","cisco-ios-configure-qos","Cisco IOS: Configure Quality of Service (QoS) Policies","Common Admin Tasks","Set bandwidth limits, traffic prioritization, and QoS policies","Yes"
"Cisco Meraki","Pro","cisco-ios-configure-port-security","Cisco IOS: Manage Port Security and 802.1X","Common Admin Tasks","Configure port security, MAC address limits, and RADIUS authentication","Yes"
"Cisco Meraki","Pro","cisco-ios-configure-stp","Cisco IOS: Configure Spanning Tree Protocol (STP)","Common Admin Tasks","Configure STP modes, bridge priorities, and BPDU guard protection","Yes"
"Cisco Meraki","Pro","cisco-ios-configure-nac","Cisco IOS: Manage Network Access Control (NAC)","Common Admin Tasks","Configure network segmentation, guest access, and access control lists","Yes"
"Cisco Meraki","Pro","cisco-ios-configure-snmp","Cisco IOS: Configure SNMP Monitoring","Common Admin Tasks","Set up SNMP v2/v3, configure traps, and monitoring communities","Yes"
"Cisco Meraki","Pro","cisco-ios-generate-interface-stats","Cisco IOS: Generate Interface Statistics Reports","Common Admin Tasks","Export traffic statistics, error rates, and utilization metrics","Yes"
"NetApp ONTAP","Pro","netapp-bulk-create-volumes","Bulk Create Volumes","Bulk Operations","Create multiple storage volumes","Yes"
"NetApp ONTAP","Pro","netapp-create-cifs-share","Create CIFS Share","Share Management","Create a new CIFS/SMB share","Yes"
"NetApp ONTAP","Pro","netapp-create-snapshot","Create Volume Snapshot","Snapshot Management","Create snapshot of a volume","Yes"
"NetApp ONTAP","Pro","netapp-manage-aggregate","Manage Storage Aggregate","Common Admin Tasks","Create or modify storage aggregates","Yes"
"NetApp ONTAP","Pro","netapp-create-nfs-export","Configure NFS Export","Common Admin Tasks","Create and configure NFS export","Yes"
"NetApp ONTAP","Pro","netapp-monitor-capacity","Monitor Capacity Utilization","Common Admin Tasks","Monitor storage capacity and utilization","Yes"
"NetApp ONTAP","Pro","netapp-monitor-performance","Monitor Performance Metrics","Common Admin Tasks","Monitor storage performance metrics","Yes"
"NetApp ONTAP","Pro","netapp-automate-backup","Automate Backup Tasks","Common Admin Tasks","Schedule automated snapshot backups","Yes"
"NetApp ONTAP","Pro","netapp-automate-replication","Automate Replication Tasks","Common Admin Tasks","Configure SnapMirror replication","Yes"
"NetApp ONTAP","Pro","netapp-manage-volume","Manage Volume Settings","Common Admin Tasks","Modify volume settings and properties","Yes"
"NetApp ONTAP","Pro","netapp-storage-efficiency","Configure Storage Efficiency Policies","Common Admin Tasks","Configure deduplication, compression schedules, and thin provisioning for optimal storage efficiency","Yes"
"NetApp ONTAP","Pro","netapp-snapmirror-management","Manage SnapMirror Relationships","Common Admin Tasks","Create, update, break, or resume SnapMirror relationships for disaster recovery and data protection","Yes"
"NetApp ONTAP","Pro","netapp-qos-policies","Configure Storage QoS Policies","Common Admin Tasks","Set IOPS limits and throughput policies per workload for performance management","Yes"
"NetApp ONTAP","Pro","netapp-performance-reports","Generate Volume Performance Reports","Common Admin Tasks","Export comprehensive IOPS, latency, and throughput metrics for performance analysis","Yes"
"JAMF Pro","Pro","jamf-bulk-deploy-policy","Bulk Deploy Policy","Bulk Operations","Deploy policy to multiple devices","Yes"
"JAMF Pro","Pro","jamf-export-inventory","Export Device Inventory","Reporting","Export comprehensive device inventory","Yes"
"JAMF Pro","Pro","jamf-manage-computers","Manage Computers and Mobile Devices","Common Admin Tasks","Retrieve and manage computer and mobile device information","Yes"
"JAMF Pro","Pro","jamf-enforce-security-profiles","Enforce Security Profiles","Common Admin Tasks","Deploy and enforce security profiles on devices","Yes"
"JAMF Pro","Pro","jamf-enforce-config-profiles","Enforce Configuration Profiles","Common Admin Tasks","Deploy and enforce configuration profiles across devices","Yes"
"JAMF Pro","Pro","jamf-manage-policies-scripts","Manage Policies and Scripts","Common Admin Tasks","Create and manage JAMF policies and scripts","Yes"
"JAMF Pro","Pro","jamf-manage-smart-groups","Manage Smart Groups","Common Admin Tasks","Create and manage smart groups for dynamic device grouping","Yes"
"JAMF Pro","Pro","jamf-compliance-reports","Generate Device Compliance Reports","Common Admin Tasks","Generate comprehensive device compliance reports","Yes"
"JAMF Pro","Pro","jamf-deploy-software","Deploy Software Packages","Common Admin Tasks","Deploy software packages to managed devices","Yes"
"JAMF Pro","Pro","jamf-retrieve-filevault-keys","Retrieve FileVault Recovery Keys","Common Admin Tasks","Retrieve FileVault recovery keys for encrypted devices","Yes"
"JAMF Pro","Pro","jamf-monitor-inventory","Monitor Device Inventory","Common Admin Tasks","Monitor real-time device inventory and hardware status","Yes"
"Slack","Pro","slack-post-message","Post Message to Channel","Messaging","Send a message to a Slack channel","Yes"
"Slack","Pro","slack-create-channel","Create Channel","Channel Management","Create a new Slack channel","Yes"
"Slack","Pro","slack-manage-channels","Manage Channels","Common Admin Tasks","Archive, rename, or update channel properties","Yes"
"Slack","Pro","slack-manage-users","Manage Users and Permissions","Common Admin Tasks","Invite users, manage permissions, and user groups","Yes"
"Slack","Pro","slack-upload-files","Upload Files to Channels","Common Admin Tasks","Upload files and documents to Slack channels","Yes"
"Slack","Pro","slack-activity-reports","Retrieve Activity Reports","Common Admin Tasks","Generate activity reports for channels and users","Yes"
"Slack","Pro","slack-usage-statistics","Retrieve Usage Statistics","Common Admin Tasks","Get workspace usage statistics and analytics","Yes"
"Slack","Pro","slack-integrate-webhooks","Integrate with Webhooks","Common Admin Tasks","Configure and test incoming webhooks for integrations","Yes"
"Slack","Pro","slack-monitoring-alerts","Integrate with Monitoring Alerts","Common Admin Tasks","Send monitoring alerts and notifications to Slack channels","Yes"
"Zoom","Pro","zoom-bulk-create-users","Bulk Create Users","Bulk Operations","Create multiple Zoom users","Yes"
"Zoom","Pro","zoom-schedule-meeting","Schedule Meeting","Meeting Management","Schedule a Zoom meeting","Yes"
"Zoom","Pro","zoom-manage-users-groups","Manage Users and Groups","Common Admin Tasks","Manage Zoom users, groups, and user settings","Yes"
"Zoom","Pro","zoom-meeting-details","Retrieve Meeting Details and Participants","Common Admin Tasks","Get detailed information about meetings and participants","Yes"
"Zoom","Pro","zoom-download-recordings","Retrieve and Download Meeting Recordings","Common Admin Tasks","Download meeting recordings and transcripts","Yes"
"Zoom","Pro","zoom-configure-sso","Configure SSO Settings","Common Admin Tasks","Configure Single Sign-On settings for the account","Yes"
"Zoom","Pro","zoom-security-policies","Configure Security Policies","Common Admin Tasks","Configure account security policies and settings","Yes"
"Zoom","Pro","zoom-usage-statistics","Monitor Usage Statistics","Common Admin Tasks","Retrieve usage statistics and analytics for the account","Yes"
"Zoom","Pro","zoom-audit-logs","Generate Audit Logs","Common Admin Tasks","Generate and export audit logs for compliance","Yes"
"Zoom","Pro","zoom-schedule-recurring","Schedule Recurring Meetings","Common Admin Tasks","Schedule recurring meetings with custom recurrence patterns","Yes"
"GitHub/GitLab","Pro","github-bulk-create-repos","Bulk Create Repositories","Bulk Operations","Create multiple GitHub repositories","Yes"
"GitHub/GitLab","Pro","github-create-release","Create Release","Release Management","Create a new GitHub release","Yes"
"GitHub/GitLab","Pro","github-delete-repo","Delete Repository","Common Admin Tasks","Delete a GitHub repository","Yes"
"GitHub/GitLab","Pro","github-change-visibility","Change Repository Visibility","Common Admin Tasks","Change repository visibility (public/private)","Yes"
"GitHub/GitLab","Pro","github-manage-collaborators","Manage Repository Collaborators","Common Admin Tasks","Add or remove repository collaborators","Yes"
"GitHub/GitLab","Pro","github-trigger-workflow","Trigger CI/CD Pipeline","Common Admin Tasks","Trigger a GitHub Actions workflow","Yes"
"GitHub/GitLab","Pro","github-get-issues","Retrieve Issue Data and Statistics","Common Admin Tasks","Retrieve and analyze repository issues","Yes"
"GitHub/GitLab","Pro","github-get-commits","Retrieve Commit History and Data","Common Admin Tasks","Retrieve commit history and export to CSV","Yes"
"GitHub/GitLab","Pro","github-manage-teams","Manage Teams and Organization Access","Common Admin Tasks","Manage team access to repositories","Yes"
"GitHub/GitLab","Pro","github-configure-webhook","Configure Webhooks","Common Admin Tasks","Create or update repository webhooks","Yes"
"GitHub/GitLab","Pro","github-branch-protection","Manage Branch Protection Rules","Common Admin Tasks","Configure branch protection rules","Yes"
"GitHub/GitLab","Pro","github-manage-actions-workflows","Manage GitHub Actions Workflows","Common Admin Tasks","Create, enable/disable, trigger workflows","Yes"
"GitHub/GitLab","Pro","github-configure-dependabot","Configure Dependabot Security","Common Admin Tasks","Set up Dependabot alerts, auto-updates, security policies","Yes"
"Splunk/Datadog","Pro","splunk-run-search","Run Search Query","Search Management","Execute a Splunk search query and export results","Yes"
"Splunk/Datadog","Pro","splunk-create-alert","Create Saved Alert","Alert Management","Create a new saved alert","Yes"
"Splunk/Datadog","Pro","splunk-manage-indexes","Manage Indexes and Retention","Common Admin Tasks","Create or modify Splunk indexes and retention policies","Yes"
"Splunk/Datadog","Pro","splunk-manage-data-sources","Manage Data Sources","Common Admin Tasks","Add or configure Splunk data inputs","Yes"
"Splunk/Datadog","Pro","splunk-configure-alert-thresholds","Configure Alert Thresholds","Common Admin Tasks","Create alerts with specific threshold conditions","Yes"
"Splunk/Datadog","Pro","splunk-export-dashboard","Collect Performance Dashboards","Common Admin Tasks","Export Splunk dashboard data","Yes"
"Splunk/Datadog","Pro","splunk-schedule-reports","Automate Report Scheduling","Common Admin Tasks","Schedule automated reports in Splunk","Yes"
"Splunk/Datadog","Pro","splunk-manage-users","Manage User Roles and Permissions","Common Admin Tasks","Create or modify Splunk user roles","Yes"
"Splunk/Datadog","Pro","splunk-configure-forwarding","Configure Data Forwarding","Common Admin Tasks","Configure Splunk forwarder to send data to indexers","Yes"
"Splunk/Datadog","Pro","splunk-manage-apps","Manage Splunk Apps and Add-ons","Common Admin Tasks","Install, update, configure Splunk apps","Yes"
"Docker/Kubernetes","Pro","docker-bulk-container-control","Bulk Container Start/Stop/Remove","Bulk Operations","Control multiple Docker containers","Yes"
"Docker/Kubernetes","Pro","docker-deploy-compose","Deploy Docker Compose Stack","Container Management","Deploy containers using docker-compose","Yes"
"Docker/Kubernetes","Pro","kubectl-deploy-manifest","Kubernetes: Deploy Manifest","Kubernetes Management","Deploy Kubernetes resources from manifest file","Yes"
"Docker/Kubernetes","Pro","docker-deploy-image","Deploy Container from Image","Common Admin Tasks","Deploy a single container from a Docker image","Yes"
"Docker/Kubernetes","Pro","kubectl-deploy-pod","Deploy Pods to Kubernetes","Common Admin Tasks","Deploy pods directly to Kubernetes cluster","Yes"
"Docker/Kubernetes","Pro","kubectl-update-deployment","Update Deployments and Rollout Changes","Common Admin Tasks","Update Kubernetes deployment and manage rollout","Yes"
"Docker/Kubernetes","Pro","docker-manage-volumes","Manage Volumes and Persistent Storage","Common Admin Tasks","Create and manage Docker volumes","Yes"
"Docker/Kubernetes","Pro","docker-manage-networks","Manage Docker Networks","Common Admin Tasks","Create and manage Docker networks","Yes"
"Docker/Kubernetes","Pro","kubectl-manage-secrets","Manage Kubernetes Secrets","Common Admin Tasks","Create and manage Kubernetes secrets","Yes"
"Docker/Kubernetes","Pro","kubectl-monitor-nodes","Monitor Node Health","Common Admin Tasks","Monitor Kubernetes node health and resource usage","Yes"
"Docker/Kubernetes","Pro","kubectl-cluster-config","Automate Cluster Configuration","Common Admin Tasks","Apply cluster-wide configurations","Yes"
"Docker/Kubernetes","Pro","docker-cleanup","Clean Up Unused Resources","Common Admin Tasks","Remove unused Docker resources to free disk space","Yes"
"Docker/Kubernetes","Pro","kubectl-manage-ingress","Manage Kubernetes Ingress Controllers","Common Admin Tasks","Deploy and configure nginx or traefik ingress controllers for routing external traffic","Yes"
"Docker/Kubernetes","Pro","kubectl-manage-pvc","Configure Persistent Volume Claims (PVC)","Common Admin Tasks","Create and manage Persistent Volume Claims and storage classes for stateful applications","Yes"
"Docker/Kubernetes","Pro","kubectl-manage-configmaps","Manage Kubernetes ConfigMaps","Common Admin Tasks","Create, update, and mount ConfigMaps for application configuration management","Yes"
"Docker/Kubernetes","Pro","kubectl-configure-rbac","Configure Kubernetes RBAC","Common Admin Tasks","Create and manage service accounts, roles, and role bindings for access control","Yes"
"Docker/Kubernetes","Pro","docker-manage-registry","Manage Docker Registry","Common Admin Tasks","Set up private Docker registry, push/pull images, and manage image tags","Yes"
"Docker/Kubernetes","Pro","kubectl-manage-namespaces","Manage Kubernetes Namespaces","Common Admin Tasks","Create, delete, and configure resource quotas for namespaces","Yes"
"Docker/Kubernetes","Pro","kubectl-configure-network-policies","Configure Kubernetes Network Policies","Common Admin Tasks","Define pod-to-pod communication rules for network isolation","Yes"
"Docker/Kubernetes","Pro","kubectl-manage-jobs-cronjobs","Manage Kubernetes Jobs and CronJobs","Common Admin Tasks","Create batch jobs and scheduled tasks","Yes"
"Docker/Kubernetes","Pro","kubectl-configure-hpa","Configure Horizontal Pod Autoscaler (HPA)","Common Admin Tasks","Set up auto-scaling based on CPU/memory metrics","Yes"
"Docker/Kubernetes","Pro","kubectl-manage-service-mesh","Manage Kubernetes Service Mesh","Common Admin Tasks","Deploy Istio or Linkerd for microservices","Yes"
"Jira/Confluence","Pro","jira-bulk-create-issues","Bulk Create Issues","Bulk Operations","Create multiple Jira issues from a list","Yes"
"Jira/Confluence","Pro","jira-export-issues","Export Issues to CSV","Reporting","Export Jira issues matching JQL query","Yes"
"Jira/Confluence","Pro","jira-manage-projects","Manage Projects and Boards","Common Admin Tasks","Create or configure Jira projects and boards","Yes"
"Jira/Confluence","Pro","jira-manage-sprints","Manage Sprints and Backlogs","Common Admin Tasks","Create and manage Jira sprints","Yes"
"Jira/Confluence","Pro","jira-assign-issues","Assign Issues and Update Statuses","Common Admin Tasks","Bulk assign issues and update their status","Yes"
"Jira/Confluence","Pro","confluence-manage-spaces","Manage Confluence Spaces","Common Admin Tasks","Create and configure Confluence spaces","Yes"
"Jira/Confluence","Pro","confluence-manage-permissions","Manage Content Access Permissions","Common Admin Tasks","Configure Confluence page and space permissions","Yes"
"Jira/Confluence","Pro","jira-productivity-report","Generate Productivity Reports","Common Admin Tasks","Generate team productivity metrics","Yes"
"Jira/Confluence","Pro","jira-usage-report","Generate Usage Reports","Common Admin Tasks","Generate Jira usage statistics","Yes"
"Jira/Confluence","Pro","jira-export-project-data","Export Project Data","Common Admin Tasks","Export comprehensive project data including issues, comments, and attachments","Yes"
